Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
,Genel Fiyat,Hayır,Eşyalı,1.000 M2,,2,,85 M2,Konut,,Betonarme,,2,12 Mayıs 2023,2.Kat,,Doğalgaz Sobalı,2+1,12 Mayıs 2023,,,"11,000TL",1,5,Kiralık,,Var,Boş,13218661,,
,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,Yok,110 M2,Konut,,,,,17 Mayıs 2023,3.Kat,,Kombi Doğalgaz,2+1,12 Mayıs 2023,,,"10,000TL",1,5,Kiralık,,,Boş,13215475,,
,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,Yok,105 M2,Konut,,,,,20 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,11 Mayıs 2023,,,"10,000TL",1,3,Kiralık,,,Boş,13214747,,
,Genel Fiyat,Hayır,Eşyalı,130 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,,,,11 Mayıs 2023,3.Kat,,Kombi Doğalgaz,3+1,11 Mayıs 2023,,,"9,000TL",1,5,Kiralık,,,Boş,13213038,,
8000 TL,Genel Fiyat,Hayır,Boş,95 M2,50 TL,21 Ve Üzeri,Yok,90 M2,Konut,Açık Balkon,Betonarme,25 M2,1,15 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,11 Mayıs 2023,1,Hayır,"8,000TLarrow_downward%6",1,4,Kiralık,10 M2,Var,Boş,13212333,55 M2,10 M2
11000 TL,Genel Fiyat,Hayır,Boş,90 M2,,21 Ve Üzeri,,80 M2,Konut,,Betonarme,,1,16 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,2+1,11 Mayıs 2023,2,Hayır,"11,000TLarrow_downward%8",1,5,Kiralık,,Var,Boş,13211823,,
19500 TL,Genel Fiyat,Hayır,Eşyalı,95 M2,50 TL,21 Ve Üzeri,Yok,90 M2,Konut,,Betonarme,,1,20 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,10 Mayıs 2023,1,Hayır,"9,750TLarrow_downward%5",1,5,Kiralık,,Var,Kiracı Oturuyor,13205131,,
20000 TL,Genel Fiyat,Hayır,Boş,130 M2,,21 Ve Üzeri,Yok,120 M2,Konut,,Betonarme,,1,10 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,3+1,10 Mayıs 2023,2,,"10,000TL",1,3,Kiralık,,Var,Boş,13204281,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,105 M2,,21 Ve Üzeri,Yok,100 M2,Konut,Açık Balkon,Betonarme,,2,20 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,2+1,09 Mayıs 2023,1,Evet,"10,000TL",1,4,Kiralık,,Var,Mülk Sahibi Oturuyor,13201504,,
9000 TL,Genel Fiyat,Hayır,,90 M2,,21 Ve Üzeri,,85 M2,Konut,,Betonarme,,1,16 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,2+1,09 Mayıs 2023,1,Hayır,"9,000TLarrow_downward%10",1,5,Kiralık,,Var,Boş,13201483,,
25000 TL,Birim Fiyat,Hayır,Eşyalı,135 M2,50 TL,15-Nov,Yok,120 M2,Konut,Kapalı Balkon,Betonarme,20 M2,1,15 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,3+1,09 Mayıs 2023,1,Evet,"12,000TL",1,5,Kiralık,8 M2,Var,Boş,13200364,5 M2,8 M2
12000 TL,Genel Fiyat,Hayır,,70 M2,,16-20,,65 M2,Konut,Açık Balkon,,,,19 Mayıs 2023,Yüksek Giriş,,Doğalgaz Sobalı,1+1,09 Mayıs 2023,1,,"6,000TL",1,3,Kiralık,,Var,Boş,13198889,,
,Genel Fiyat,Hayır,Boş,118 M2,,10-May,Yok,85 M2,Konut,,,,,09 Mayıs 2023,10.Kat,,Merkezi (Pay Ölçer),2+1,09 Mayıs 2023,,,"20,000TL",1,18,Kiralık,,,Boş,13198284,,
,Genel Fiyat,Hayır,Eşyalı,73 M2,,10-May,Yok,55 M2,Konut,,,,,09 Mayıs 2023,1.Kat,,Merkezi (Pay Ölçer),1+1,09 Mayıs 2023,,,"17,000TL",1,14,Kiralık,,,Boş,13198283,,
10000 TL,Genel Fiyat,Hayır,,40 M2,,10-May,,34 M2,Konut,,,,,09 Mayıs 2023,Yarı Bodrum,,Kombi Doğalgaz,1+1,09 Mayıs 2023,,,"5,500TL",1,4,Kiralık,,,Boş,13197037,,
,Genel Fiyat,Evet,Boş,157 M2,,15-Nov,Yok,135 M2,Konut,,,,,18 Mayıs 2023,17.Kat,,Merkezi (Pay Ölçer),3+1,09 Mayıs 2023,,,"33,000TL",2,18,Kiralık,,,Boş,13196611,,
,Genel Fiyat,Hayır,Boş,135 M2,,21 Ve Üzeri,Yok,125 M2,Konut,,,,,12 Mayıs 2023,3.Kat,,Kombi Doğalgaz,3+1,09 Mayıs 2023,,,"8,000TL",2,5,Kiralık,,,Boş,13196066,,
